ABBREVIATION,TERM,DEFINITION ,ARTICLE ID 
ICS,interciliary scales,counted between supraciliaries at midpoint of orbit,Pauwels 2021 Dixonius_mekongensis
IL,infralabial scales,,Pauwels 2021 Dixonius_mekongensis
InterOrbS,interorbital scales,counted across the narrowest point of the frontal bone,Pauwels 2021 Dixonius_mekongensis
PrePo,precloacal pores,,Pauwels 2021 Dixonius_mekongensis
PV,paravertebral scales,number of scales in a paravertebral row from first scale posterior to parietal scale to last scale at the level of vent opening,Pauwels 2021 Dixonius_mekongensis
PV’,paravertebral scales,in a row between limb insertions,Pauwels 2021 Dixonius_mekongensis
SL,supralabial scales,,Pauwels 2021 Dixonius_mekongensis
SLMOrb,number of supralabial scales at mid-orbital position,,Pauwels 2021 Dixonius_mekongensis
SubLT4,number of subdigital lamellae beneath 4th toe,,Pauwels 2021 Dixonius_mekongensis
Ven,ventral scales,,Pauwels 2021 Dixonius_mekongensis
EarH,ear height,the greatest vertical distance of the ear opening,Meesook 2021 Gekko_pradapdao
EarL,ear length,the greatest horizontal distance of the ear opening,Meesook 2021 Gekko_pradapdao
FAL,forearm length,taken on the dorsal surface from the posterior margin of the elbow while flexed 90° to the inflection of the flexed wrist,Meesook 2021 Gekko_pradapdao
HeadD,head depth,the maximum depth of head from the occiput to the throat,Meesook 2021 Gekko_pradapdao
HeadL,head length,from the posterior margin of the retroarticular process of the lower jaw to the tip of the snout,Meesook 2021 Gekko_pradapdao
HeadW,head width,measured at the angle of the jaws,Meesook 2021 Gekko_pradapdao
InterN,internarial distance,measured between the nares across the rostrum,Meesook 2021 Gekko_pradapdao
InterOrb,interorbital distance,measured between the anterior edges of the orbits,Meesook 2021 Gekko_pradapdao
MenL,length of the mental,,Meesook 2021 Gekko_pradapdao
MenW,width of the mental,,Meesook 2021 Gekko_pradapdao
NeckW,maximum width of neck,,Meesook 2021 Gekko_pradapdao
NosOrb,nostril to orbit distance,from the posterior margin of the external nares to the anterior margin of the orbit,Meesook 2021 Gekko_pradapdao
OrbD,orbit diameter,the greatest horizontal diameter of the orbit,Meesook 2021 Gekko_pradapdao
OrbEar,orbit to ear distance,from the anterior edge of the ear opening to the posterior edge of the orbit,Meesook 2021 Gekko_pradapdao
RosW,maximum width of the rostral,,Meesook 2021 Gekko_pradapdao
SnOrb,snout to eye distance,from the tip of the snout to the anteriormost margin of the orbit,Meesook 2021 Gekko_pradapdao
SVL,snout-vent length,taken from the tip of snout to the vent,Meesook 2021 Gekko_pradapdao
TailL,tail length,"taken from the vent to the tip of the tail, original or regenerated",Meesook 2021 Gekko_pradapdao
TailW,tail width,taken at the base of the tail immediately posterior to the postcloacal swelling,Meesook 2021 Gekko_pradapdao
TibL,tibia length,taken on the ventral surface from the posterior surface of the knee while flexed 90° to the base of heel,Meesook 2021 Gekko_pradapdao
ToeL I-V,length of toes one to five,,Meesook 2021 Gekko_pradapdao
TrunkL,axilla to groin length (trunk length),taken from the posterior margin of the forelimb at its insertion point on the body to the anterior margin of the hind limb at its insertion point on the body,Meesook 2021 Gekko_pradapdao
TrunkW,greatest width of torso,taken at level of midbody,Meesook 2021 Gekko_pradapdao
DTR,longitudinal rows of dorsal tubercles at midbody,,Meesook 2021 Gekko_pradapdao
FemPo,femoral pores,,Meesook 2021 Gekko_pradapdao
IL,infralabial scales,,Meesook 2021 Gekko_pradapdao
InterCilS,interorbital scale,rows between supraciliaries,Meesook 2021 Gekko_pradapdao
InterOrbS,interorbital scales,counted across the narrowest point of the frontal bone,Meesook 2021 Gekko_pradapdao
MSR,number of scale rows around midbody,,Meesook 2021 Gekko_pradapdao
ParaTub,number of paravertebral tubercles between the limbs insertions,counted in a straight line immediately left of the vertebral column,Meesook 2021 Gekko_pradapdao
PrePo,precloacal pores,,Meesook 2021 Gekko_pradapdao
SL,supralabial scales,,Meesook 2021 Gekko_pradapdao
SLMOrb,number of supralabial scales at mid-orbital position,,Meesook 2021 Gekko_pradapdao
SubDL,number of subdigital lamellae,,Meesook 2021 Gekko_pradapdao
SVL,Snout vent length,,Marti?ünez-Freiri?üa 2021 Vipera latastei
TAIL,Tail length,,Marti?ünez-Freiri?üa 2021 Vipera latastei
HL,Head length,,Marti?ünez-Freiri?üa 2021 Vipera latastei
ML,Mouth length,,Marti?ünez-Freiri?üa 2021 Vipera latastei
HH,Head height,,Marti?ünez-Freiri?üa 2021 Vipera latastei
HW,Head width,,Marti?ünez-Freiri?üa 2021 Vipera latastei
APIC,Number of apical scales,,Marti?ünez-Freiri?üa 2021 Vipera latastei
INTER,Number of intercanthal+intrasupraocular scales,,Marti?ünez-Freiri?üa 2021 Vipera latastei
LOR,Number of loreal scales (right side),,Marti?ünez-Freiri?üa 2021 Vipera latastei
SUP,Number of supralabial scales (right side),,Marti?ünez-Freiri?üa 2021 Vipera latastei
INFR,Number of infralabial scales (right side),,Marti?ünez-Freiri?üa 2021 Vipera latastei
PERIOC,Number of periocular scales (right side),,Marti?ünez-Freiri?üa 2021 Vipera latastei
VENT,Number of ventral scales,,Marti?ünez-Freiri?üa 2021 Vipera latastei
SUBC,Number of subcaudal scales,,Marti?ünez-Freiri?üa 2021 Vipera latastei
DORS,Number of dorsal rows at midbody,,Marti?ünez-Freiri?üa 2021 Vipera latastei
PARIET,Fragmentation of the parietal plates (partial / total),,Marti?ünez-Freiri?üa 2021 Vipera latastei
FRONT,Fragmentation of the frontal plate (partial / total),,Marti?ünez-Freiri?üa 2021 Vipera latastei
ROWS,Scale row between periocular and supraocular scales(complete / incomplete),,Marti?ünez-Freiri?üa 2021 Vipera latastei
SVL,snout–vent length,measured from the tip of the snout to the anterior edge of the cloaca,Parrinha 2021 Pedioplanis Angola
TL,tail length," from the vent to the tip of the tail,measured only in specimens with complete, original tails",Parrinha 2021 Pedioplanis Angola
HL,head length,from the anterior edge of the occipital scale to the tip of the snout,Parrinha 2021 Pedioplanis Angola
HW,head width,"measured behind the eyes, where the head is widest",Parrinha 2021 Pedioplanis Angola
ILL,inter-limb length,corresponding to the distance between the insertion of the anterior and posterior limbs,Parrinha 2021 Pedioplanis Angola
BL,body length,from the anterior edge of the cloaca to the collar,Parrinha 2021 Pedioplanis Angola
CSL,collar-snout length,from the median collar plate to the tip of the snout,Parrinha 2021 Pedioplanis Angola
LFL,length of the forelimb,from the elbow to the wrist,Parrinha 2021 Pedioplanis Angola
LHL,length of the hindlimb,measured from knee to heel,Parrinha 2021 Pedioplanis Angola
SL,supralabials anterior to the subocular,,Parrinha 2021 Pedioplanis Angola
IL,infralabials,,Parrinha 2021 Pedioplanis Angola
SC,number of supraciliaries,,Parrinha 2021 Pedioplanis Angola
GrSO,number of small granules anterior to the supraoculars,presence and shape of tympanic shield,Parrinha 2021 Pedioplanis Angola
GrRows,rows of small granules between supraoculars and supraciliaries,,Parrinha 2021 Pedioplanis Angola
Eye,number of enlarged transparent scales on the lower eyelid,,Parrinha 2021 Pedioplanis Angola
LVSR,number of longitudinal,,Parrinha 2021 Pedioplanis Angola
TVSR,transverse,rows of ventral scales,Parrinha 2021 Pedioplanis Angola
FP,number of femoral pores,,Parrinha 2021 Pedioplanis Angola
CP,number of collar plates,,Parrinha 2021 Pedioplanis Angola
GS,number of gular scales,,Parrinha 2021 Pedioplanis Angola
SVL,snout-vent length,,Lobo?ün-Rovira 2021 Hemidactylus Angola
TRL,trunk length,,Lobo?ün-Rovira 2021 Hemidactylus Angola
BW,body width,maximum width of body,Lobo?ün-Rovira 2021 Hemidactylus Angola
CL,crus length,from base of heel to knee,Lobo?ün-Rovira 2021 Hemidactylus Angola
TL,tail length,,Lobo?ün-Rovira 2021 Hemidactylus Angola
TW,tail width,,Lobo?ün-Rovira 2021 Hemidactylus Angola
HL,headlength,,Lobo?ün-Rovira 2021 Hemidactylus Angola
HW,head width,,Lobo?ün-Rovira 2021 Hemidactylus Angola
HH,head height,,Lobo?ün-Rovira 2021 Hemidactylus Angola
FL,forearm length,,Lobo?ün-Rovira 2021 Hemidactylus Angola
OD,orbital diameter,,Lobo?ün-Rovira 2021 Hemidactylus Angola
NE,nares to eye distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
SE,snout to eye distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
EE,eye to ear distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
IN,internarial distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
IO,interorbital distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
BW,body width,maximum width of body,Liu 2021 Cyrtodactylus Western Yunnan
CL,crus length,from the base of heel to the knee,Liu 2021 Cyrtodactylus Western Yunnan
EE,orbit to ear distance,from posterior corner of eye orbit to anterior margin of ear opening,Liu 2021 Cyrtodactylus Western Yunnan
EL,ear  length,greatest diameter of ear,Liu 2021 Cyrtodactylus Western Yunnan
FL,forearm length,from the base of the palm to the elbow,Liu 2021 Cyrtodactylus Western Yunnan
HH,head-height,from occiput to underside of jaws,Liu 2021 Cyrtodactylus Western Yunnan
HL,head length,from tip of snout to posterior margin of jaw,Liu 2021 Cyrtodactylus Western Yunnan
HW,head width,maximum width of head,Liu 2021 Cyrtodactylus Western Yunnan
IN,internarial distance,measured between inner borders of nostrils,Liu 2021 Cyrtodactylus Western Yunnan
IO,interorbital distance,measured across narrowest point of frontal bone,Liu 2021 Cyrtodactylus Western Yunnan
NE,nostril to eye distance,from nostril to anterior corner of eye orbit,Liu 2021 Cyrtodactylus Western Yunnan
ED,eye diameter greatest diameter of eye,,Liu 2021 Cyrtodactylus Western Yunnan
SE,snout to eye distance,from tip of snout to anterior corner of eye orbit,Liu 2021 Cyrtodactylus Western Yunnan
SVL,snout to vent length,from tip of snout to anterior margin of cloaca,Liu 2021 Cyrtodactylus Western Yunnan
TL,tail length,from posterior margin of cloaca to tip of tail,Liu 2021 Cyrtodactylus Western Yunnan
TRL,trunk length,axilla to groin distance,Liu 2021 Cyrtodactylus Western Yunnan
TW,tail width,maximum width of tail,Liu 2021 Cyrtodactylus Western Yunnan
DTR,dorsal tubercle rows,,Liu 2021 Cyrtodactylus Western Yunnan
MVSR,midbody ventral scale rows,,Liu 2021 Cyrtodactylus Western Yunnan
PVT,paravertebral tubercles,,Liu 2021 Cyrtodactylus Western Yunnan
SL,supralabials,,Liu 2021 Cyrtodactylus Western Yunnan
IL,infralabials,,Liu 2021 Cyrtodactylus Western Yunnan
PcP,precloacal pores,,Liu 2021 Cyrtodactylus Western Yunnan
PcFP,precloacofemoral pores,,Liu 2021 Cyrtodactylus Western Yunnan
SVL,Snout–vent length,,Lee 2021 Calamaria nebulosa
TailL,tail length,,Lee 2021 Calamaria nebulosa
SVL,snout–vent length,from tip of snout to anterior margin of the cloaca,Li 2021 Achalinus dehuaensis
TaL,tail length, from posterior margin of cloaca to tip of tail,Li 2021 Achalinus dehuaensis
LSBP,length of suture between the prefrontals,,Li 2021 Achalinus dehuaensis
LSBI,length of suture between internasals,,Li 2021 Achalinus dehuaensis
SPO,supraoculars,,Li 2021 Achalinus dehuaensis
SPL,supralabials,,Li 2021 Achalinus dehuaensis
IFL,infralabials,,Li 2021 Achalinus dehuaensis
aTMP,anterior temporals,,Li 2021 Achalinus dehuaensis
mTMP,middle temporals,,Li 2021 Achalinus dehuaensis
pTMP,posterior temporals,,Li 2021 Achalinus dehuaensis
VS,ventral scales,,Li 2021 Achalinus dehuaensis
SC,subcaudals,,Li 2021 Achalinus dehuaensis
DSR,dorsal scale rows,,Li 2021 Achalinus dehuaensis
BS,body scales,,Li 2021 Achalinus dehuaensis
SVL,snout-vent length,from tip of snout to anterior margin of cloaca,Liu 2021 Cyrtodactylus Southern Yunnan
TaL,tail length,from posterior margin of cloaca to tip of tail,Liu 2021 Cyrtodactylus Southern Yunnan
HH,maximum head height,from occiput to underside of jaws,Liu 2021 Cyrtodactylus Southern Yunnan
HL,head length,from tip of snout to posterior margin of ear,Liu 2021 Cyrtodactylus Southern Yunnan
HW,maximum head width,,Liu 2021 Cyrtodactylus Southern Yunnan
OD,greatest diameter of orbit,,Liu 2021 Cyrtodactylus Southern Yunnan
SE,snout to eye distance,from tip of snout to anterior corner of eye orbit,Liu 2021 Cyrtodactylus Southern Yunnan
EE,eye orbit to ear distance,from posterior corner of eye orbit to anterior margin of ear opening,Liu 2021 Cyrtodactylus Southern Yunnan
IND,internarial distance,measured between inner borders of nostrils,Liu 2021 Cyrtodactylus Southern Yunnan
IOD,interorbital distance,measured across narrowest point of frontal bone,Liu 2021 Cyrtodactylus Southern Yunnan
ED,ear diameter,greatest diameter of ear,Liu 2021 Cyrtodactylus Southern Yunnan
AG,axilla to groin distance,,Liu 2021 Cyrtodactylus Southern Yunnan
ForeaL,forearm length,from the base of the palm to the elbow,Liu 2021 Cyrtodactylus Southern Yunnan
SL,shank length,from the base of heel to the knee,Liu 2021 Cyrtodactylus Southern Yunnan
RW,rostral widt,,Liu 2021 Cyrtodactylus Southern Yunnan
RH,rostral height,,Liu 2021 Cyrtodactylus Southern Yunnan
MW,mental width,,Liu 2021 Cyrtodactylus Southern Yunnan
ML,mental length,,Liu 2021 Cyrtodactylus Southern Yunnan
SPL,supralabials,,Liu 2021 Cyrtodactylus Southern Yunnan
IFL,infralabials,,Liu 2021 Cyrtodactylus Southern Yunnan
I,internasals or postrostrals,,Liu 2021 Cyrtodactylus Southern Yunnan
PM,postmentals,"scales bordering mental shield, except infralabials",Liu 2021 Cyrtodactylus Southern Yunnan
GSDT,granular scales surrounding dorsal midbody tubercles,,Liu 2021 Cyrtodactylus Southern Yunnan
DTR,dorsal tubercle rows,"number of dorsal, longitudinal rows of tubercles at midbody between the ventrolateral folds",Liu 2021 Cyrtodactylus Southern Yunnan
PVT,paravertebral tubercles,counted in a single paravertebral row from the level of the forelimb insertions to the level of the hind limb insertion,Liu 2021 Cyrtodactylus Southern Yunnan
V,longitudinal ventral scale rows,counted across the belly between the ventrolateral folds at midbody,Liu 2021 Cyrtodactylus Southern Yunnan
EFS,enlarged femoral scales,number of enlarged femoral scale beneath each thigh,Liu 2021 Cyrtodactylus Southern Yunnan
PP,precloacal pores,,Liu 2021 Cyrtodactylus Southern Yunnan
FP,femoral pores,,Liu 2021 Cyrtodactylus Southern Yunnan
PAT,postcloacal tubercles,number of tubercles on each side of postcloacal region,Liu 2021 Cyrtodactylus Southern Yunnan
Atem,number of anterior temporals,,Liu 2021 Gonyosoma
DSR,dorsal scale rows,,Liu 2021 Gonyosoma
IL,infralabials,counted on lower lips,Liu 2021 Gonyosoma
Lor,loreals,,Liu 2021 Gonyosoma
PostOc,postoculars,,Liu 2021 Gonyosoma
Prec,precloacal plate,,Liu 2021 Gonyosoma
PreOc,preoculars,,Liu 2021 Gonyosoma
PTem,number of posterior temporals,,Liu 2021 Gonyosoma
SL,supralabials,,Liu 2021 Gonyosoma
SL /orbit,number of supralabials entering orbit,,Liu 2021 Gonyosoma
SubC,number of subcaudal scales,,Liu 2021 Gonyosoma
SVL,snout-vent length,from tip of snout to vent,Liu 2021 Gonyosoma
TaL,tail length,,Liu 2021 Gonyosoma
TL,total length,,Liu 2021 Gonyosoma
Ven,number of ventral scales,,Liu 2021 Gonyosoma
SVL,Snout vent length,,Khandekar 2021 Hemiphyllodactylus goaensis
TL,tail length,,Khandekar 2021 Hemiphyllodactylus goaensis
TW,tail width,,Khandekar 2021 Hemiphyllodactylus goaensis
TRL,trunk length,,Khandekar 2021 Hemiphyllodactylus goaensis
BH,body height,,Khandekar 2021 Hemiphyllodactylus goaensis
BW,body width,,Khandekar 2021 Hemiphyllodactylus goaensis
fL,forearm length,,Khandekar 2021 Hemiphyllodactylus goaensis
CL,crus length,,Khandekar 2021 Hemiphyllodactylus goaensis
HL,head length,,Khandekar 2021 Hemiphyllodactylus goaensis
HW,head width,,Khandekar 2021 Hemiphyllodactylus goaensis
HH,head height,,Khandekar 2021 Hemiphyllodactylus goaensis
ED,eye diameter,,Khandekar 2021 Hemiphyllodactylus goaensis
EN,naris to eye distance,,Khandekar 2021 Hemiphyllodactylus goaensis
SE,snout to eye distance,,Khandekar 2021 Hemiphyllodactylus goaensis
EE,ear to eye distance,,Khandekar 2021 Hemiphyllodactylus goaensis
EL,ear length,,Khandekar 2021 Hemiphyllodactylus goaensis
IN,internarial distance,,Khandekar 2021 Hemiphyllodactylus goaensis
IO,interorbital distance,,Khandekar 2021 Hemiphyllodactylus goaensis
INS,internasal scales,,Khandekar 2021 Hemiphyllodactylus goaensis
SL,supralabials,,Khandekar 2021 Hemiphyllodactylus goaensis
IL,infralabials,,Khandekar 2021 Hemiphyllodactylus goaensis
CS,chin scales,,Khandekar 2021 Hemiphyllodactylus goaensis
VS,ventral scales,,Khandekar 2021 Hemiphyllodactylus goaensis
fP,femoral pores,,Khandekar 2021 Hemiphyllodactylus goaensis
PP,precloacal pores,,Khandekar 2021 Hemiphyllodactylus goaensis
fP,femoral pores,,Khandekar 2021 Hemiphyllodactylus goaensis
LAM,lamellae,,Khandekar 2021 Hemiphyllodactylus goaensis
BLAM,basal lamellar formula,,Khandekar 2021 Hemiphyllodactylus goaensis
SVL,snout vent length,,Khandekar 2021 Hemidactylus tamhiniensis
AGL,axilla to groin length,,Khandekar 2021 Hemidactylus tamhiniensis
BW,body width,,Khandekar 2021 Hemidactylus tamhiniensis
BH,body height,,Khandekar 2021 Hemidactylus tamhiniensis
FL,forearm length,,Khandekar 2021 Hemidactylus tamhiniensis
CL,crus length,,Khandekar 2021 Hemidactylus tamhiniensis
TL,tail length,,Khandekar 2021 Hemidactylus tamhiniensis
TW,tail width,,Khandekar 2021 Hemidactylus tamhiniensis
HL,head length,,Khandekar 2021 Hemidactylus tamhiniensis
HW,head widt,,Khandekar 2021 Hemidactylus tamhiniensis
HD,head depth,,Khandekar 2021 Hemidactylus tamhiniensis
ED,eye diameter,,Khandekar 2021 Hemidactylus tamhiniensis
EN,eye to nare distance,,Khandekar 2021 Hemidactylus tamhiniensis
ES,eye to snout distance,,Khandekar 2021 Hemidactylus tamhiniensis
EE,eye to ear distance,,Khandekar 2021 Hemidactylus tamhiniensis
EL,ear length,,Khandekar 2021 Hemidactylus tamhiniensis
IN,internarial distance,,Khandekar 2021 Hemidactylus tamhiniensis
Io,interorbital distance,,Khandekar 2021 Hemidactylus tamhiniensis
SL,supralabials,,Khandekar 2021 Hemidactylus tamhiniensis
IL,infralabials,,Khandekar 2021 Hemidactylus tamhiniensis
DTR,dorsal tubercle rows,,Khandekar 2021 Hemidactylus tamhiniensis
PVT,paravertebral tubercles,,Khandekar 2021 Hemidactylus tamhiniensis
VS,ventral scales,,Khandekar 2021 Hemidactylus tamhiniensis
MVSR,mid-body ventral scale rows,,Khandekar 2021 Hemidactylus tamhiniensis
FP,femoral pores,,Khandekar 2021 Hemidactylus tamhiniensis
SBFP,poreless scales between femoral pores,,Khandekar 2021 Hemidactylus tamhiniensis
SVL,snout to vent length,measured from the tip of the snout to the vent,Lam 2021 Ahaetulla rufusoculara
TaL,tail length,measured from the vent to the tip of the tail,Lam 2021 Ahaetulla rufusoculara
TL,total length,sum of SVL and TaL,Lam 2021 Ahaetulla rufusoculara
HL,head length,measured from the tip of the snout to the posterior margin of the mandible,Lam 2021 Ahaetulla rufusoculara
HW,maximum head width,,Lam 2021 Ahaetulla rufusoculara
HH,head height,"vertical height between dorsal and ventral surfaces of head, measured at HW",Lam 2021 Ahaetulla rufusoculara
IO,interorbital distance,shortest distance between outer margins of supraoculars,Lam 2021 Ahaetulla rufusoculara
ED,eye diameter,horizontal diameter of eye,Lam 2021 Ahaetulla rufusoculara
SnL,snout length,distance between the tip of the snout and anterior edge of eye,Lam 2021 Ahaetulla rufusoculara
EN,eye to nostril,distance between anterior margin of eye and posterior margin of nostril,Lam 2021 Ahaetulla rufusoculara
VS,ventral scales,counted from the first ventral scale which is wider than long to the vent excluding cloacal plate,Lam 2021 Ahaetulla rufusoculara
ASR,anterior dorsal scale rows at neck,number of scale rows at one head length behind the head,Lam 2021 Ahaetulla rufusoculara
MSR,midbody dorsal scale rows,number of scale rows at VS/2,Lam 2021 Ahaetulla rufusoculara
PSR,posterior dorsal scale rows,number of scale rows at one head length prior to the vent,Lam 2021 Ahaetulla rufusoculara
SC,subcaudal scales,number of subcaudal scales excluding the terminal scute,Lam 2021 Ahaetulla rufusoculara
SL,supralabials,,Lam 2021 Ahaetulla rufusoculara
InL,infralabials,,Lam 2021 Ahaetulla rufusoculara
SL-Eye,number of SL entering orbit,,Lam 2021 Ahaetulla rufusoculara
PrSO,presubocular,,Lam 2021 Ahaetulla rufusoculara
PrO,preocular,,Lam 2021 Ahaetulla rufusoculara
PO,postocular,number of scales touching posterior side of the orbit,Lam 2021 Ahaetulla rufusoculara
ATP,anterior temporals,number of scales immediately behind postocular between SL and parietal,Lam 2021 Ahaetulla rufusoculara
PTP,posterior temporals,number of scales behind anterior temporals between posterior,Lam 2021 Ahaetulla rufusoculara
MT,maxillary teeth,,Lam 2021 Ahaetulla rufusoculara
LHSC,length that the hemipenes extend in terms of numbers of subcaudal scales,,Lam 2021 Ahaetulla rufusoculara
SVL,snout-vent length,,Le 2021 Pareas southern Vietnam
TaL,tail length,,Le 2021 Pareas southern Vietnam
TL,total length,,Le 2021 Pareas southern Vietnam
XXX,ventral scales,,Le 2021 Pareas southern Vietnam
XXX,subcaudal scales,,Le 2021 Pareas southern Vietnam
XXX,supralabials,,Le 2021 Pareas southern Vietnam
XXX,infralabials,,Le 2021 Pareas southern Vietnam
XXX,number of keeled dorsal scale rows at midbody,,Le 2021 Pareas southern Vietnam
XXX,anterior temporals,,Le 2021 Pareas southern Vietnam
XXX,posterior temporals,,Le 2021 Pareas southern Vietnam
XXX,postoculars,,Le 2021 Pareas southern Vietnam
SVL,snout to vent length,,Kamei 2021 Cyrtodactylus bapme
TRL,trunk length,,Kamei 2021 Cyrtodactylus bapme
BW,maximum body width,,Kamei 2021 Cyrtodactylus bapme
TL,tail length,,Kamei 2021 Cyrtodactylus bapme
TW,tail width, taken on the first tail segment,Kamei 2021 Cyrtodactylus bapme
TD,tail depth ,taken on the first tail segment,Kamei 2021 Cyrtodactylus bapme
HL,head length ,from the snout tip to the retroarticular process of the jaw,Kamei 2021 Cyrtodactylus bapme
HW,maximum head width,,Kamei 2021 Cyrtodactylus bapme
JW,jaw width ,taken ventrally at the retroarticular process of the jaw,Kamei 2021 Cyrtodactylus bapme
HD,maximum head depth,,Kamei 2021 Cyrtodactylus bapme
FL,forearm length,,Kamei 2021 Cyrtodactylus bapme
CL,crus length,,Kamei 2021 Cyrtodactylus bapme
OD,orbit diameter,,Kamei 2021 Cyrtodactylus bapme
NO,distance between the posterior edge of the nostril and the anterior orbital border,,Kamei 2021 Cyrtodactylus bapme
SO,distance between the snout tip and the anterior orbital border,,Kamei 2021 Cyrtodactylus bapme
OE,distance between the posterior orbital border and the anterior border of the ear,,Kamei 2021 Cyrtodactylus bapme
EL,maximum ear length/diameter,,Kamei 2021 Cyrtodactylus bapme
ES,anterior border of the ear to the snout tip,,Kamei 2021 Cyrtodactylus bapme
IN,internarial distance,,Kamei 2021 Cyrtodactylus bapme
IO,minimum interorbital distance ,between the left and right supraciliary rows,Kamei 2021 Cyrtodactylus bapme
FW,minimum frontal width,,Kamei 2021 Cyrtodactylus bapme
RL,maximum rostral length,,Kamei 2021 Cyrtodactylus bapme
RW,maximum rostral width,,Kamei 2021 Cyrtodactylus bapme
ML,maximum mental length,,Kamei 2021 Cyrtodactylus bapme
MW,maximum mental width,,Kamei 2021 Cyrtodactylus bapme
PMIL,maximum length of the inner postmental,,Kamei 2021 Cyrtodactylus bapme
PMIIL,maximum length of the outer postmental,,Kamei 2021 Cyrtodactylus bapme
FIVL,length of digit IV of the manus ,from the proximal apex with digit III to the tip (excluding the claw),Kamei 2021 Cyrtodactylus bapme
TIVL,length of digit IV of the pes,from the proximal apex with digit III to the tip (excluding the claw),Kamei 2021 Cyrtodactylus bapme
PcP,precloacal pores,a continuous series of pore-bearing scales on the precloacal region that does not extend onto the thighs,Kamei 2021 Cyrtodactylus bapme
PcFP,precloacofemoral pores, a continuous series of pore-bearing scales that extends from the precloacal region onto the thighs,Kamei 2021 Cyrtodactylus bapme
FP,femoral pores,a series of pore-bearing scales on the thighs that are separated from a PcP/PcFP series by a diastema of non-pore-bearing scales,Kamei 2021 Cyrtodactylus bapme
PCS,post cloacal spurs,,Kamei 2021 Cyrtodactylus bapme
MVSR,mid-ventral scale rows,counted between the ventrolateral folds,Kamei 2021 Cyrtodactylus bapme
PVT1,paravertebral tubercles, counted from the most anterior tubercle on the occiput to the mid-sacrum,Kamei 2021 Cyrtodactylus bapme
PVT2,paravertebral tubercles on the trunk only,counted between the level of the axilla and the level of the groin,Kamei 2021 Cyrtodactylus bapme
DTR,dorsal tubercle rows,counted transversely across the trunk at its widest point,Kamei 2021 Cyrtodactylus bapme
SL,total supralabials,,Kamei 2021 Cyrtodactylus bapme
IL,total infralabials,,Kamei 2021 Cyrtodactylus bapme
SVL,snout–vent,,Hamdan 2015 Chironius flavolineatus brazili
CL,caudal length,,Hamdan 2015 Chironius flavolineatus brazili
HL,head length,,Hamdan 2015 Chironius flavolineatus brazili
HW,head width,,Hamdan 2015 Chironius flavolineatus brazili
RD,rostro–orbital distance,,Hamdan 2015 Chironius flavolineatus brazili
RW,rostro–orbital width,,Hamdan 2015 Chironius flavolineatus brazili
MW,midbody width,,Hamdan 2015 Chironius flavolineatus brazili
MH,midbody height,,Hamdan 2015 Chironius flavolineatus brazili
PA,apical pits on anterior region of the body,,Hamdan 2015 Chironius flavolineatus brazili
PM,apical pits at midbody region of the body,,Hamdan 2015 Chironius flavolineatus brazili
PP,apical pits at posterior region of the body,,Hamdan 2015 Chironius flavolineatus brazili
PT,apical pits at tail region of the body,,Hamdan 2015 Chironius flavolineatus brazili
SVL,snout vent length,,Khandekar 2021 Cnemaspis uttaraghati
AGL,axilla to groin length,,Khandekar 2021 Cnemaspis uttaraghati
BW,body width,,Khandekar 2021 Cnemaspis uttaraghati
FL,forearm length,,Khandekar 2021 Cnemaspis uttaraghati
CL,crus length,,Khandekar 2021 Cnemaspis uttaraghati
TL,tail length,,Khandekar 2021 Cnemaspis uttaraghati
TW,tail width,,Khandekar 2021 Cnemaspis uttaraghati
HL,head length,,Khandekar 2021 Cnemaspis uttaraghati
HW,head width,,Khandekar 2021 Cnemaspis uttaraghati
HD,head depth,,Khandekar 2021 Cnemaspis uttaraghati
ED,eye diameter,,Khandekar 2021 Cnemaspis uttaraghati
EN,eye to nares distance,,Khandekar 2021 Cnemaspis uttaraghati
ES,eye to snout distance,,Khandekar 2021 Cnemaspis uttaraghati
EE,eye to ear distance,,Khandekar 2021 Cnemaspis uttaraghati
EL,ear length,,Khandekar 2021 Cnemaspis uttaraghati
IN,internarial distance,,Khandekar 2021 Cnemaspis uttaraghati
IO,interorbital distance,,Khandekar 2021 Cnemaspis uttaraghati
SL,number of supralabials,,Khandekar 2021 Cnemaspis uttaraghati
IL,infralabials,,Khandekar 2021 Cnemaspis uttaraghati
SL M,supralabials at midorbital position,,Khandekar 2021 Cnemaspis uttaraghati
IL M,infralabials at midorbital position,,Khandekar 2021 Cnemaspis uttaraghati
DTR,dorsal tubercle rows,including longitudinal rows of spine-like tubercle on lower flank ,Khandekar 2021 Cnemaspis uttaraghati
PVT,paravertebral tubercles,,Khandekar 2021 Cnemaspis uttaraghati
VS,ventral scales,,Khandekar 2021 Cnemaspis uttaraghati
MVSR,mid-body scale rows across the belly,,Khandekar 2021 Cnemaspis uttaraghati
PP,precloacal pores,,Khandekar 2021 Cnemaspis uttaraghati
FP,femoral pores,,Khandekar 2021 Cnemaspis uttaraghati
SB FP,poreless scales between femoral pores,,Khandekar 2021 Cnemaspis uttaraghati
