ABBREVIATION,TERM,DEFINITION ,ARTICLE ID 
NE,Nostril to eye distance,from tip of nostril to anterior corner of eye ,Patel 2020 Ophisops Gujarat
EE,Eye to ear distance,from posterior edge of eye and tympanum,Patel 2020 Ophisops Gujarat
NL,Length of neck,distance between posterior edge of tympanum and shoulder joint ,Patel 2020 Ophisops Gujarat
TD,Tympanum diameter,largest size ,Patel 2020 Ophisops Gujarat
IN,Inter narial distance,,Patel 2020 Ophisops Gujarat
IO,Inter orbital distance,taken at the posterior margin of orbit ,Patel 2020 Ophisops Gujarat
LV,Length of cloaca crevice,largest size,Patel 2020 Ophisops Gujarat
LBT,Tail width,length of widest part of tail base ,Patel 2020 Ophisops Gujarat
BW,Body width,length of widest part of belly ,Patel 2020 Ophisops Gujarat
SCS R/L,Supraciliary Scales,,Patel 2020 Ophisops Gujarat
SCG R/L,Supraciliary granules,,Patel 2020 Ophisops Gujarat
SOS R/L,Supraocular scales,,Patel 2020 Ophisops Gujarat
SL R/L,Supralabials,,Patel 2020 Ophisops Gujarat
IL R/L,Infralabials,,Patel 2020 Ophisops Gujarat
LO R/L,Loreals,,Patel 2020 Ophisops Gujarat
STS R/L,Supra temporals scales,,Patel 2020 Ophisops Gujarat
CS R/L,Chin Shields,,Patel 2020 Ophisops Gujarat
DS,Dorsal scales,number of scales on dorsum from behind occipital to above vent ,Patel 2020 Ophisops Gujarat
RBS,Mid body scales,scales in transverse rows at mid body ,Patel 2020 Ophisops Gujarat
VS,Ventral scales,number of enlarged scales on belly from forelimb insertion to above femoral pores ,Patel 2020 Ophisops Gujarat
GS,gular scales,in a straight median series including collar,Patel 2020 Ophisops Gujarat
NCS,Number of collar scales,on ventral side  ,Patel 2020 Ophisops Gujarat
NVS,Number of transverse series of ventral scales,counted in straight median series between collar and the row of scales separating the series of femoral pores  ,Patel 2020 Ophisops Gujarat
R/L NFP,Number of femoral pores,,Patel 2020 Ophisops Gujarat
SBFP,Scale between Femoral pores,,Patel 2020 Ophisops Gujarat
D,dorsal scales,counted from the parietals posteriorly to the insertion of hindlimbs,Ribeiro_Junior 2020 Alopoglossus theodorusi
V,ventrals,counted between the interbrachial and preanal shields,Ribeiro_Junior 2020 Alopoglossus theodorusi
Mb,scale rows around the midbody,,Ribeiro_Junior 2020 Alopoglossus theodorusi
ArT,scale rows around the tail,immediately posterior to the cloaca,Ribeiro_Junior 2020 Alopoglossus theodorusi
So,supraoculars,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Sbo,suboculars,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Po,postoculars,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Sc,superciliaries,,Ribeiro_Junior 2020 Alopoglossus theodorusi
L,loreal,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Fr,frenocular,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Sl,supralabials,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Il,infralabials,,Ribeiro_Junior 2020 Alopoglossus theodorusi
Neck,scales on sides of neck,in transverse rows ,Ribeiro_Junior 2020 Alopoglossus theodorusi
Pairs,pairs of chin shields,,Ribeiro_Junior 2020 Alopoglossus theodorusi
BtwP,small or granular scales,between the pairs of chin shields ,Ribeiro_Junior 2020 Alopoglossus theodorusi
G,gulars,counted between the interbrachial and mental plates,Ribeiro_Junior 2020 Alopoglossus theodorusi
Pores,femoral pores,,Ribeiro_Junior 2020 Alopoglossus theodorusi
F,lamellae under fourth finger,,Ribeiro_Junior 2020 Alopoglossus theodorusi
T,lamellae under fourth toe,,Ribeiro_Junior 2020 Alopoglossus theodorusi
SVL,snout–vent length,from the border of cloaca to the tip of snout,Ribeiro_Junior 2020 Alopoglossus theodorusi
AGL,axilla–groin length,from the anterior margin of the hindlimb to the posterior margin of the forelimb,Ribeiro_Junior 2020 Alopoglossus theodorusi
