orig.abbr.,redundant,new.abbr.,upper,TERM,DEFINITION ,ARTICLE ID 
ED,x,ed,ED,Eye Diameter,greatest horizontal diameter of eye,Patel 2020 Ophisops Gujarat
ED,x,ed,ED,eye diameter,measured as a horizontal distance,Shi 2021 Gloydius Qinghai
ED,x,ed,ED,eye diameter,,Khandekar 2021 Hemiphyllodactylus goaensis
ED,x,ed,ED,eye diameter,,Khandekar 2021 Hemidactylus tamhiniensis
ED,x,ed,ED,eye diameter,horizontal diameter of eye,Lam 2021 Ahaetulla rufusoculara
ED,x,ed,ED,eye diameter,,Khandekar 2021 Cnemaspis uttaraghati
ED,x,ed,ED,eye diameter,,Agarwal 2021 Cnemaspis krishnagiriensis
ED,x,ed,ED,eye diameter,the greatest horizontal diameter of the eyeball,Agung 2021 Hemiphyllodactylus
EyeD,x,ed,ED,Eye diameter,the greatest horizontal diameter of the eyeball,Do 2021 Hemiphyllodactylus dalatensis
ED,x,ed,ED,eye diameter greatest diameter of eye,,Liu 2021 Cyrtodactylus Western Yunnan
ED,x,ed,ED,eye horizontal diameter,,Qi 2021 Elaphe xiphodonata
EL,x,ed,ED,eye length,maximum vertical eye length,Peng 2021 Gonyosoma Hainan
EW,x,ed,ED,eye width,maximum horizontal  eye  width,Peng 2021 Gonyosoma Hainan
OD,x,ed,ED,greatest diameter of orbit,,Liu 2021 Cyrtodactylus Southern Yunnan
OD,x,ed,ED,greatest diameter of orbits,,Zhang 2021 Cyrtodactylus Daweishan
ED                            ,x,ed,ED,horizontal diameter of the eye,,Chandramouli 2020 Trimeresurus
ED,x,ed,ED,horizontal eye diameter,,Sumontha 2021 Trimeresurus kuiburi
ED,x,ed,ED,horizontal eye diameter,,Chandramouli 2021 Nicobar Gekko
XXX,x,ed,ED,maximum diameter of the orbit,bony edge to bony edge; we took this measurement along a line parallel to the ocular aperture,Harvey 2021 Gonocephalus Sumatra
ER,x,ed ?,ED ?,Eye length diameter, maximum horizontal eye diameter,Wagner 2021 Acanthocercus margaritae
EDS,,eds,EDS,Enlarged dorsal scales smooth,"keeled, no enlarged scales",Wagner 2021 Acanthocercus margaritae
OE,,ee,EE,distance between posterior orbital border and the anterior border of the ear,,Purkayastha 2021 Cyrtodactylus northeast India
OE,x,ee,EE,distance between the posterior orbital border and the anterior border of the ear,,Kamei 2021 Cyrtodactylus bapme
ETY,x,ee,EE,distance from eye to tympanum,measured from posterior margin of the eye to the anterior edge of the tympanum,Chandramouli 2021 Nicobar Gekko
EE,x,ee,EE,ear to eye distance,,Khandekar 2021 Hemiphyllodactylus goaensis
EE,x,ee,EE,Eye ear distance,distance from anterior edge of ear opening to posterior corner of eyes,Nguyen 2021 Dixonius somchanhae
EE,x,ee,EE,eye orbit to ear distance,from posterior corner of eye orbit to anterior margin of ear opening,Liu 2021 Cyrtodactylus Southern Yunnan
EE,x,ee,EE,Eye to ear distance,from posterior edge of eye and tympanum,Patel 2020 Ophisops Gujarat
EE,x,ee,EE,eye to ear distance,from anterior edge of ear opening to posterior corner of eye;,Zhang 2021 Cyrtodactylus Daweishan
EE,x,ee,EE,eye to ear distance,,Lobo?ün-Rovira 2021 Hemidactylus Angola
EE,x,ee,EE,eye to ear distance,,Khandekar 2021 Hemidactylus tamhiniensis
EE,x,ee,EE,eye to ear distance,,Khandekar 2021 Cnemaspis uttaraghati
EE,x,ee,EE,eye to ear distance,,Agarwal 2021 Cnemaspis krishnagiriensis
Eye Ear,x,ee,EE,eye to ear distance,from anterior edge of ear opening to posterior corner of eye,Do 2021 Cyrtodactylus orlovi
EyeEar,x,ee,EE,eye to ear distance,measured from edge of orbit to anterior edge of ear opening,Riyanto 2021 Cyrtodactylus hamidyi
EEL,x,ee,EE,Eye–ear length,from posterior margin of the eye to anterior margin of ear,Wagner 2021 Acanthocercus margaritae
XXX,x,ee,EE,eye–ear length,from posterior border of orbit to anterior border of tympanum,"Amarasinghe 2021, Hemidactylus kimbulae"
EE,x,ee,EE,orbit to ear distance,from posterior corner of eye orbit to anterior margin of ear opening,Liu 2021 Cyrtodactylus Western Yunnan
OrbEar,x,ee,EE,orbit to ear distance,from the anterior edge of the ear opening to the posterior edge of the orbit,Pauwels 2021 Dixonius_mekongensis
OrbEar,x,ee,EE,orbit to ear distance,from the anterior edge of the ear opening to the posterior edge of the orbit,Meesook 2021 Gekko_pradapdao
EF,,EF,EF,ear (posterior margin) to axilla,,Barr 2021 Oligosoma
EFS,,efs,EFS,enlarged femoral scales,number of enlarged femoral scale beneath each thigh,Liu 2021 Cyrtodactylus Southern Yunnan
EFS  ,x,efs,EFS,enlarged femoral scales,,Do 2021 Cyrtodactylus orlovi
EPFS,x,efs,EFS,enlarged precloacofemoral scales,"number of enlarged precloacofemoral scales counted along lowest, pore-bearing row",Riyanto 2021 Cyrtodactylus hamidyi
EL,x,el,EL,ear  length,greatest diameter of ear,Liu 2021 Cyrtodactylus Western Yunnan
EarD,x,el,EL,ear diameter,maximum diameter of ear,Do 2021 Hemiphyllodactylus dalatensis
ED,x,el,EL,ear diameter,greatest diameter of ear,Liu 2021 Cyrtodactylus Southern Yunnan
EarH,x,el,EL,ear height,the greatest vertical distance of the ear opening,Meesook 2021 Gekko_pradapdao
EAR,x,el,EL,Ear length, maximum horizontal ear diameter,Wagner 2021 Acanthocercus margaritae
EarL,x,el,EL,ear length,maximum length of ear opening,Riyanto 2021 Cyrtodactylus hamidyi
EarL,x,el,EL,ear length,the greatest horizontal distance of the ear opening,Pauwels 2021 Dixonius_mekongensis
EarL,x,el,EL,ear length,the greatest horizontal distance of the ear opening,Meesook 2021 Gekko_pradapdao
ED,x,el,EL,ear length,longest dimension of ear,Do 2021 Cyrtodactylus orlovi
EL,,el,EL,Ear length,length along the major axis of ear,Nguyen 2021 Dixonius somchanhae
EL,x,el,EL,ear length,,Khandekar 2021 Hemiphyllodactylus goaensis
EL,x,el,EL,ear length,,Khandekar 2021 Hemidactylus tamhiniensis
EL,x,el,EL,ear length,,Khandekar 2021 Cnemaspis uttaraghati
EL,x,el,EL,ear length,,Agarwal 2021 Cnemaspis krishnagiriensis
XXX,x,el,EL,ear length,greatest horizontal diameter of tympanum,"Amarasinghe 2021, Hemidactylus kimbulae"
XXX,x,el,EL,length of the tympanum ,,Harvey 2021 Gonocephalus Sumatra
EL,x,el,EL,maximum ear length,,Purkayastha 2021 Cyrtodactylus northeast India
EL,x,el,EL,maximum ear length/diameter,,Kamei 2021 Cyrtodactylus bapme
TD,x,el,EL,Tympanum diameter,largest size ,Patel 2020 Ophisops Gujarat
TYD,x,el,EL,tympanum diameter,measured across the widest point of the tympanic opening,Chandramouli 2021 Nicobar Gekko
TyW,x,el,EL,tympanum width,,Edwards 2011 Diporiphora
EM,,EM,EM,posterior eye–mandible distance,distance between posteriormost edge of eye and posterior edge of mandible,Amarasinghe 2021 Oligodon tolaki
NO,,en,EN,distance between the posterior edge of the nostril and the anterior orbital border,,Purkayastha 2021 Cyrtodactylus northeast India
NO,x,en,EN,distance between the posterior edge of the nostril and the anterior orbital border,,Kamei 2021 Cyrtodactylus bapme
EN,x,en,EN,Eye nostril distance,distance between anteriormost point of eyes and nostrils,Nguyen 2021 Dixonius somchanhae
EN,x,en,EN,eye to nare distance,,Khandekar 2021 Hemidactylus tamhiniensis
EN,x,en,EN,eye to nares distance,,Khandekar 2021 Cnemaspis uttaraghati
EN,x,en,EN,eye to nares distance,,Agarwal 2021 Cnemaspis krishnagiriensis
EN,x,en,EN,eye to nostril,distance between anterior margin of eye and posterior margin of nostril,Lam 2021 Ahaetulla rufusoculara
